path,resolution,sys,series,sys_id,img_id,format,date
800/02/grid_sys02_seed1199.png,800,02,grid,sys02,seed1199,png,2021-09-19
4000/03/grid_sys03_seed1201.png,4000,03,grid,sys03,seed1201,png,2021-09-19
800/03/grid_sys03_seed1201.png,800,03,grid,sys03,seed1201,png,2021-09-19
4000/03/grid_sys03_seed1209.png,4000,03,grid,sys03,seed1209,png,2021-09-19
800/03/grid_sys03_seed1209.png,800,03,grid,sys03,seed1209,png,2021-09-19
4000/03/grid_sys03_seed1220.png,4000,03,grid,sys03,seed1220,png,2021-09-19
800/03/grid_sys03_seed1220.png,800,03,grid,sys03,seed1220,png,2021-09-19
4000/03/grid_sys03_seed1226.png,4000,03,grid,sys03,seed1226,png,2021-09-19
800/03/grid_sys03_seed1226.png,800,03,grid,sys03,seed1226,png,2021-09-19
4000/03/grid_sys03_seed1233.png,4000,03,grid,sys03,seed1233,png,2021-09-19
800/03/grid_sys03_seed1233.png,800,03,grid,sys03,seed1233,png,2021-09-19
4000/03/grid_sys03_seed1238.png,4000,03,grid,sys03,seed1238,png,2021-09-19
800/03/grid_sys03_seed1238.png,800,03,grid,sys03,seed1238,png,2021-09-19
4000/03/grid_sys03_seed1242.png,4000,03,grid,sys03,seed1242,png,2021-09-19
800/03/grid_sys03_seed1242.png,800,03,grid,sys03,seed1242,png,2021-09-19
4000/03/grid_sys03_seed1246.png,4000,03,grid,sys03,seed1246,png,2021-09-19
800/03/grid_sys03_seed1246.png,800,03,grid,sys03,seed1246,png,2021-09-19
4000/03/grid_sys03_seed1252.png,4000,03,grid,sys03,seed1252,png,2021-09-19
800/03/grid_sys03_seed1252.png,800,03,grid,sys03,seed1252,png,2021-09-19
4000/03/grid_sys03_seed1266.png,4000,03,grid,sys03,seed1266,png,2021-09-19
800/03/grid_sys03_seed1266.png,800,03,grid,sys03,seed1266,png,2021-09-19
4000/03/grid_sys03_seed1274.png,4000,03,grid,sys03,seed1274,png,2021-09-19
800/03/grid_sys03_seed1274.png,800,03,grid,sys03,seed1274,png,2021-09-19
4000/03/grid_sys03_seed1279.png,4000,03,grid,sys03,seed1279,png,2021-09-19
800/03/grid_sys03_seed1279.png,800,03,grid,sys03,seed1279,png,2021-09-19
4000/03/grid_sys03_seed1284.png,4000,03,grid,sys03,seed1284,png,2021-09-19
800/03/grid_sys03_seed1284.png,800,03,grid,sys03,seed1284,png,2021-09-19
4000/03/grid_sys03_seed1286.png,4000,03,grid,sys03,seed1286,png,2021-09-19
800/03/grid_sys03_seed1286.png,800,03,grid,sys03,seed1286,png,2021-09-19
4000/03/grid_sys03_seed1288.png,4000,03,grid,sys03,seed1288,png,2021-09-19
800/03/grid_sys03_seed1288.png,800,03,grid,sys03,seed1288,png,2021-09-19
4000/03/grid_sys03_seed1295.png,4000,03,grid,sys03,seed1295,png,2021-09-19
800/03/grid_sys03_seed1295.png,800,03,grid,sys03,seed1295,png,2021-09-19
